The Best NBA Player's,,,,,,
Player Name,Position,Offense,Defense,Total,War Total,Pace Impact
Nikola Jokic,4449,8.792336571,1.230473972,10.02281054,14.31952131,0.757118333
Rudy Gobert,3988,-0.136339788,7.821070694,7.684730906,10.06923457,0.019341006
Stephen Curry,4039,8.576912053,-1.603190877,6.973721177,9.363464356,2.712414631
Kawhi Leonard,3221,6.652329067,1.681413265,8.333742332,8.867064713,-0.828248607
Giannis Antetokounmpo,3790,4.418557215,2.450412129,6.868969344,8.718744101,1.532906881
Clint Capela,3459,1.13159893,5.69787499,6.82947392,8.106144487,-0.870842198
Paul George,3282,4.840813068,2.172050615,7.012863684,8.074040206,0.81362243
Luka Doncic,4058,6.850696697,-1.706942359,5.143754338,8.001087271,1.164739229
Jimmy Butler,3184,4.235954246,3.023569767,7.259524014,7.971271756,-0.200350061
Joel Embiid,2879,4.204483542,4.167529686,8.372013228,7.814107227,0.966929687
Mike Conley,3085,3.647923098,3.963067042,7.61099014,7.72793933,0.201606356
Julius Randle,4710,1.624181777,1.801317972,3.425499749,7.338678767,0.181970124
Fred VanVleet,3666,2.585749998,2.322533292,4.90828329,6.857383223,-1.022426684
Jayson Tatum,4144,3.806901177,-0.221168167,3.58573301,6.435120547,-0.415902159
LeBron James,2892,5.692589515,0.417723396,6.110312912,6.273719294,-0.012523959
James Harden,3240,6.486215847,-1.703160176,4.78305567,5.985651457,-0.054372247
Jrue Holiday,3375,2.922945448,1.670670685,4.593616133,5.891713504,0.289763973
Bradley Beal,4131,5.678712063,-2.446859807,3.231852256,5.838585053,1.286117118
Damian Lillard,4271,6.642431652,-4.016593854,2.625837797,5.675487869,1.39774694
Thaddeus Young,2922,3.897810939,1.172485235,5.070296174,5.580359447,-0.099762903
Chris Paul,4006,3.763345935,-0.880347903,2.882998032,5.56086332,-0.160589145
Mikal Bridges,4162,1.47799545,0.955765536,2.433760986,5.354715201,-0.315307042
Joe Harris,4058,2.540254725,0.139205882,2.679460607,5.320102499,0.239021687
Jamal Murray,3458,2.916485133,0.48976184,3.406246973,5.303362773,-0.919446702
Nicolas Batum,3459,0.230612545,3.168456571,3.399069116,5.273399114,-0.305527868
Joe Ingles,3284,3.359889301,0.382703089,3.74259239,5.180453096,0.12280134
Zion Williamson,4018,3.73494138,-1.153759101,2.581182279,5.174970694,1.430144904
Jakob Poeltl,3287,-0.898720133,4.56720923,3.668489097,5.152198045,-0.489735248
Harrison Barnes,4430,1.542802647,0.485772418,2.028575065,5.100158518,-0.48402781
CJ McCollum,2613,4.040415501,1.220015109,5.26043061,5.099584486,-0.179132897
Donovan Mitchell,3689,4.674835636,-1.847214569,2.827621067,5.057090918,0.347483519
Draymond Green,3631,0.724352746,2.35088312,3.075235865,5.052059586,1.928008303
Robert Covington,4000,-0.161379976,2.501833435,2.340453459,4.990719709,-0.386401426
Devin Booker,4016,3.383683302,-1.185900673,2.197782629,4.976932957,0.491922058
Zach LaVine,3948,4.0308042,-1.658792448,2.372011753,4.941599469,1.296162603
Trae Young,3861,5.623481468,-3.3161958,2.307285668,4.86281214,1.945580064
Brandon Ingram,4064,3.837502223,-1.800808715,2.036693508,4.752264999,-0.776182484
Kyrie Irving,3416,5.786698412,-2.868080658,2.918617755,4.714111836,0.621726967
Jordan Clarkson,3181,3.849999794,-0.511355351,3.338644443,4.704318365,0.359996183
Montrezl Harrell,3032,1.30616404,2.116721207,3.422885247,4.570084251,-0.340058115
Tobias Harris,3657,2.061992766,0.372824406,2.434817172,4.56932881,-0.618849287
